Subject,PJself,CDself,Age,Gender,YearsExp
1,7,7,27,Female,6
2,7,7,27,Male,4
3,4,2,31,Female,6
4,4,8,42,Female,20
5,6,3,37,Female,15
6,7,7,44,Female,20
7,2,2,52,Male,29
8,,7,53,Male,31
9,4,4,38,Male,15
10,7,10,46,Male,24
11,5,9,46,Male,24
12,7,9,61,Male,39
13,4,4,65,Male,43
14,3,3,44,Male,22
15,6,8,61,Male,39
16,6,6,61,Female,40
17,4,4,33,Male,11
18,3,4,55,Male,28
19,6,6,41,Female,18
20,6,5,66,Male,45
21,5,5,36,Female,14
22,7,7,47,Female,25
23,7,7,58,Female,37
24,5,2,58,Female,30
25,7,5,36,Male,13
26,4,3,52,Female,28
27,8,10,27,Female,5
28,8,8,39,Female,17
29,7,7,60,Male,34
30,7,7,38,Female,10
31,4,3,41,Male,19
32,4,4,42,Male,20
33,8,9,43,Male,22
34,7,8,68,Female,45
35,8,8,33,Male,9
36,8,8,29,Male,6
37,8,5,43,Female,22
38,2,8,27,Female,3
39,8,9,35,Female,12
40,10,10,30,Male,8
41,6,6,43,Male,22
42,8,8,25,Female,4
43,9,9,27,Female,5
44,6,7,51,Female,25
45,3,3,46,Female,23
46,8,6,71,Male,49
47,4,4,44,Female,20
48,9,3,65,Male,43
49,9,4,19,Female,0
50,4,5,23,Male,2
51,6,6,44,Female,23
52,6,6,61,Male,35
53,4,3,61,Male,37
54,4,3,61,Male,40
55,,8,78,Male,56
56,,8,24,Male,2
57,7,7,23,Female,2
58,3,3,39,Male,18
59,10,10,31,Male,4
60,8,8,,Male,30
61,6,6,33,Female,11
62,6,6,25,Female,4
63,7,7,40,Female,20
64,,9,36,Male,14
65,3,2,33,Male,10
66,8,8,34,Male,12
67,6,6,29,Male,6
